Brand,Product name,Image,Sales price,Review
GIORGIO ARMANI,EYES TO KILL STELLAR,"=image(""https://static.lottedfs.com/prod/prd-img/img_product_noImg.png/dims/resize/180x180"")",$35.15,0
MAC,STUDIO WATERWEIGHT SPF 30/PA+++ FOUNDATION,"=image(""https://static.lottedfs.com/prod/prd-img/img_product_noImg.png/dims/resize/180x180"")",$38.95,1
TONYMOLY,[BOUFFANTS] PERFECT EYES MOOD EYE PALETTE,"=image(""https://static.lottedfs.com/prod/prd-img/80/28/77/00/00/02/20000772880_2.jpg/dims/resize/180x180"")",$17.1,0
BURBERRY,BURBERRY CASHMERE CONCEALER,"=image(""https://static.lottedfs.com/prod/prd-img/62/50/74/00/00/02/20000745062_1.jpg/dims/resize/180x180"")",$34.2,0
HOURGLASS,VANISH CONCEALER- FAWN,"=image(""https://static.lottedfs.com/prod/prd-img/62/27/89/00/00/02/20000892762_2.jpg/dims/resize/180x180"")",$38.95,0
RMK,RMK SUPER BASIC CONCEALER PACT G,"=image(""https://static.lottedfs.com/prod/prd-img/15/08/53/00/00/02/20000530815_2.jpg/dims/resize/180x180"")",$52,0
LUNA,LUNA LONG LASTING TIP CONCEALER 03,"=image(""https://static.lottedfs.com/prod/prd-img/73/01/21/03/00/01/10003210173_2.jpg/dims/resize/180x180"")",$9,0
HOLIKA HOLIKA,PIECE MATCHING 4 PIECES SHADOW PALETTE NO01 (RED VELVET),"=image(""https://static.lottedfs.com/prod/prd-img/img_product_noImg.png/dims/resize/180x180"")",$11,0
APIEU,JUICY PANG TINT-LYCHEE(RD03),"=image(""https://static.lottedfs.com/prod/prd-img/94/75/89/00/00/02/20000897594_2.jpg/dims/resize/180x180"")",$5.4,0
APIEU,JUICY PANG MOUSSE TINT- MULBERRY(RD05),"=image(""https://static.lottedfs.com/prod/prd-img/05/76/89/00/00/02/20000897605_2.jpg/dims/resize/180x180"")",$6.3,0
DEAR DAHLIA,SKIN PARADISE FLAWLESS FIT EXPERT CONCEALER LC2 BISQUE,"=image(""https://static.lottedfs.com/prod/prd-img/32/96/89/00/00/02/20000899632_2.jpg/dims/resize/180x180"")",$21.6,0
3CE,CONTOUR SHADING,"=image(""https://static.lottedfs.com/prod/prd-img/05/20/96/00/00/02/20000962005_3.jpg/dims/resize/180x180"")",$19,0
THE TOOL LAB,MULTI TASKER MINI,"=image(""https://static.lottedfs.com/prod/prd-img/20/32/44/00/00/02/20000443220_1.jpg/dims/resize/180x180"")",$22.5,0
LUNASOL,LUNASOL UNDER EYES CONCEALER,"=image(""https://static.lottedfs.com/prod/prd-img/79/11/14/00/00/01/10000141179_1.jpg/dims/resize/180x180"")",$26,0
LAURA MERCIER,CAVIAR STICK EYE COLOUR-CHORME,"=image(""https://static.lottedfs.com/prod/prd-img/43/10/66/00/00/02/20000661043_3.jpg/dims/resize/180x180"")",$31,0
BENEFIT,BLUSH BOSS,"=image(""https://static.lottedfs.com/prod/prd-img/07/05/69/00/00/02/20000690507_3.jpg/dims/resize/180x180"")",$58.9,1
MAC,LIPGLASS / ELECTRIC WONDER,"=image(""https://static.lottedfs.com/prod/prd-img/08/24/68/00/00/02/20000682408_3.jpg/dims/resize/180x180"")",$23.75,0
Dr.Jart+,PREMIUM BEAUTY BALM 40ml,"=image(""https://static.lottedfs.com/prod/prd-img/47/26/60/00/00/02/20000602647_1.jpg/dims/resize/180x180"")",$41,0
DEAR DAHLIA,PARADISE DREAM VELVET LIP MOUSSE - CANCAN,"=image(""https://static.lottedfs.com/prod/prd-img/54/14/63/00/00/02/20000631454_2.jpg/dims/resize/180x180"")",$18.9,0
MAC,LIP PENCIL,"=image(""https://static.lottedfs.com/prod/prd-img/59/30/40/01/00/01/10001403059_1.jpg/dims/resize/180x180"")",$18.05,0
ETUDE,DOUBLE LASTING FOUNDATION,"=image(""https://static.lottedfs.com/prod/prd-img/56/58/75/00/00/02/20000755856_2.jpg/dims/resize/180x180"")",$13.5,0
BANDI NAIL,ULTRA CURE GIFT SET,"=image(""https://static.lottedfs.com/prod/prd-img/83/90/76/00/00/02/20000769083_2.jpg/dims/resize/180x180"")",$26.1,0
LOREAL PARIS,LOREAL PARIS - COLOR RICHE - LOREAL PARIS X KARL LAGERFELD - LIPSTICK 03 IRONIK,"=image(""https://static.lottedfs.com/prod/prd-img/44/89/76/00/00/02/20000768944_5.jpg/dims/resize/180x180"")",$13,0
FENTY BEAUTY,FACE AND BODY KABUKI BRUSH 160,"=image(""https://static.lottedfs.com/prod/prd-img/92/62/71/00/00/02/20000716292_1.jpg/dims/resize/180x180"")",$37.05,0
SISLEY COSMETIC,PHYTO TEINT ULTRA ECLAT 2 SOFT BEIGE,"=image(""https://static.lottedfs.com/prod/prd-img/58/35/73/00/00/02/20000733558_2.jpg/dims/resize/180x180"")",$78,0
PICCASSO COLLEZIONI,[PICCASSO COLLEZIONI] 777 EYESHADOW,"=image(""https://static.lottedfs.com/prod/prd-img/91/54/72/00/00/02/20000725491_1.jpg/dims/resize/180x180"")",$14.4,0
CHANTECAILLE,JUST SKIN ANTI-SMOG TINTED MOISTURIZER SPF 15,"=image(""https://static.lottedfs.com/prod/prd-img/64/41/08/03/00/01/10003084164_5.jpg/dims/resize/180x180"")",$93,0
PICCASSO,PICCASSO 201A NOSE SHADING,"=image(""https://static.lottedfs.com/prod/prd-img/88/59/18/03/00/01/10003185988_1.jpg/dims/resize/180x180"")",$36,0
PICCASSO,PICCASSO 777 EYESHADOW,"=image(""https://static.lottedfs.com/prod/prd-img/49/59/18/03/00/01/10003185949_1.jpg/dims/resize/180x180"")",$27,1
YVES SAINT LAURENT,YVES SAINT LAURENT EYELINER EFFET FX CILS SHOCKING 01,"=image(""https://static.lottedfs.com/prod/prd-img/93/94/13/00/00/01/10000139493_6.jpg/dims/resize/180x180"")",$34,0
BENEFIT,3D BROWTONES,"=image(""https://static.lottedfs.com/prod/prd-img/45/86/27/02/00/01/10002278645_5.jpg/dims/resize/180x180"")",$25.65,1
TONYMOLY,PETITE BUNNY GLOSS BAR NO3 SET OF 5,"=image(""https://static.lottedfs.com/prod/prd-img/06/55/14/02/00/01/10002145506_1.jpg/dims/resize/180x180"")",$25.2,0
ETUDE,PLAY COLOR EYES CHERRY BLOSSOM 6+1,"=image(""https://static.lottedfs.com/prod/prd-img/69/37/48/00/00/02/20000483769_2.jpg/dims/resize/180x180"")",$98.1,5
HENCKELS,ZWILLING CLASSIC INOX ZIP FASTENER CASE RED 5 PIECES,"=image(""https://static.lottedfs.com/prod/prd-img/09/80/57/00/00/02/20000578009_3.jpg/dims/resize/180x180"")",$133.2,0
MIBA,MIBA ION CALCIUM MINERAL BB CREAM 50ml,"=image(""https://static.lottedfs.com/prod/prd-img/01/71/54/00/00/02/20000547101_1.jpg/dims/resize/180x180"")",$17.1,0
PICCASSO,PICCASSO 723 FAN POWDER,"=image(""https://static.lottedfs.com/prod/prd-img/64/60/18/03/00/01/10003186064_1.jpg/dims/resize/180x180"")",$15.3,0
BEAUTY BLENDER,ORIGINAL PINK,"=image(""https://static.lottedfs.com/prod/prd-img/37/19/46/00/00/02/20000461937_1.jpg/dims/resize/180x180"")",$18,1
MAKE UP FOR EVER,REFILLABLE MAKEUP PALETTE L 2020 LIMITED EDITION,"=image(""https://static.lottedfs.com/prod/prd-img/80/86/77/00/00/02/20000778680_1.jpg/dims/resize/180x180"")",$2,0
MELIXIR,VEGAN LIP BUTTER TRIO C,"=image(""https://static.lottedfs.com/prod/prd-img/13/61/95/00/00/02/20000956113_2.jpg/dims/resize/180x180"")",$15.3,0
BENEFIT,THE POREFESSIONAL MINI,"=image(""https://static.lottedfs.com/prod/prd-img/29/28/29/02/00/01/10002292829_3.jpg/dims/resize/180x180"")",$13.3,8
HOURGLASS,1.5MM GEL LINER-3PACK-OBSIDIAN,"=image(""https://static.lottedfs.com/prod/prd-img/88/37/93/00/00/02/20000933788_2.jpg/dims/resize/180x180"")",$54.15,0
EST,EST LONG-LASTING LOOSE POWDER PEARL,"=image(""https://static.lottedfs.com/prod/prd-img/55/98/92/00/00/02/20000929855_2.jpg/dims/resize/180x180"")",$40.5,0
VDL,VDL PERFECTING LAST FOUNDATION V04,"=image(""https://static.lottedfs.com/prod/prd-img/93/46/95/00/00/02/20000954693_2.jpg/dims/resize/180x180"")",$19.8,0
LOCCITANE,VELVETY LIP,"=image(""https://static.lottedfs.com/prod/prd-img/12/26/64/00/00/02/20000642612_7.jpg/dims/resize/180x180"")",$31,0
VISEE,VISEE RICHE PERFECT LOOSE POWDER,"=image(""https://static.lottedfs.com/prod/prd-img/87/64/60/00/00/02/20000606487_1.jpg/dims/resize/180x180"")",$14,0
REAL TECHNIQUES,REAL TECHNIQUE 1726 POWDER BLUE B02 : SOFT FINISHING,"=image(""https://static.lottedfs.com/prod/prd-img/67/02/69/00/00/02/20000690267_1.jpg/dims/resize/180x180"")",$25.2,0
NARS,RADIANCE PRIMER,"=image(""https://static.lottedfs.com/prod/prd-img/08/20/38/00/00/02/20000382008_2.jpg/dims/resize/180x180"")",$38,0
PICCASSO,PICCASSO 130 FOUNDATION,"=image(""https://static.lottedfs.com/prod/prd-img/78/59/18/03/00/01/10003185978_1.jpg/dims/resize/180x180"")",$32.4,0
I'M MEME,RENEWAL IM MULTI STICK SHADING_001 BRONZER,"=image(""https://static.lottedfs.com/prod/prd-img/93/03/56/00/00/02/20000560393_4.jpg/dims/resize/180x180"")",$9,4
TOM FORD BEAUTY,LIP COLOR FABULOUS,"=image(""https://static.lottedfs.com/prod/prd-img/85/64/88/00/00/02/20000886485_2.jpg/dims/resize/180x180"")",$49,0
TOM FORD BEAUTY,SOLEIL LIP LACQUER,"=image(""https://static.lottedfs.com/prod/prd-img/39/40/88/00/00/02/20000884039_2.jpg/dims/resize/180x180"")",$46,0
HOURGLASS,CONFESSION REF-I AM,"=image(""https://static.lottedfs.com/prod/prd-img/71/28/89/00/00/02/20000892871_3.jpg/dims/resize/180x180"")",$24.7,0
RIRE,RIRE BUBBLE BUBBLE LIP MASK SET,"=image(""https://static.lottedfs.com/prod/prd-img/94/66/78/00/00/02/20000786694_1.jpg/dims/resize/180x180"")",$14.4,1
FENTY BEAUTY,PRECISE DEFINITION BRUSH 220,"=image(""https://static.lottedfs.com/prod/prd-img/52/49/78/00/00/02/20000784952_1.jpg/dims/resize/180x180"")",$25.65,0
SUQQU,SUQQU LIP BRUSH L N,"=image(""https://static.lottedfs.com/prod/prd-img/81/21/80/00/00/02/20000802181_2.jpg/dims/resize/180x180"")",$48,0
PONY EFFECT,"STAY FIT BASE PRIMER_PORE, RADIANCE","=image(""https://static.lottedfs.com/prod/prd-img/96/87/90/00/00/02/20000908796_3.jpg/dims/resize/180x180"")",$18,0
BYREDO,COLOUR STICK VIENNA,"=image(""https://static.lottedfs.com/prod/prd-img/71/73/90/00/00/02/20000907371_4.jpg/dims/resize/180x180"")",$42,0
GIVERNY,GO MILCHAK SIGNATURE FOUNDATION NO17 PORCELAIN,"=image(""https://static.lottedfs.com/prod/prd-img/63/42/91/00/00/02/20000914263_2.jpg/dims/resize/180x180"")",$33.3,0
ANASTASIA BEVERLY HILLS,LIQUID LINER,"=image(""https://static.lottedfs.com/prod/prd-img/90/48/89/00/00/02/20000894890_6.jpg/dims/resize/180x180"")",$20.9,0
HOURGLASS,CONFESSION REFILL-IVE NEVER,"=image(""https://static.lottedfs.com/prod/prd-img/64/47/89/00/00/02/20000894764_3.jpg/dims/resize/180x180"")",$24.7,0
HOURGLASS,VEIL EYE PRIMER,"=image(""https://static.lottedfs.com/prod/prd-img/09/57/89/00/00/02/20000895709_2.jpg/dims/resize/180x180"")",$30.4,0
PAUL & JOE BEAUTE,ANNIVERSARY LIPSTICK CASE,"=image(""https://static.lottedfs.com/prod/prd-img/63/44/96/00/00/02/20000964463_1.jpg/dims/resize/180x180"")",$17,0
